"id","yearBuilt","City","latitude","longitude","zipcode","bathrooms","bedrooms","DateListed","DateSold","daysOnZillow","homeType","lastSoldPrice","livingArea","lotSize","price","priceHistory.1.price","propertyTaxRate","hasCooling","hasFireplace","hasGarage","hasHeating","hasView","schools0distance","schools0level","schools0rating","schools1distance","schools1level","schools1rating","schools2distance","school2level","schools2rating","price_category"
20628,1971,"Tigard",45.43076,-122.8036,"97223",3,3,"8/19/2019","7/15/2020",331,"SINGLE_FAMILY",470000,1965,10890,470000,469900,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.2,"Elementary","5",0.9,"Middle","5",2.8,"High","7","below"
20631,1997,"Tigard",45.4299,-122.8161,"97223",2,3,"8/17/2019","7/14/2020",332,"SINGLE_FAMILY",454000,1544,5662,454000,449000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,1.9,"Elementary","6",1.3,"Middle","6",2.4,"High","6","below"
20632,1994,"Tigard",45.42493,-122.8428,"97223",3,4,"8/15/2019","7/13/2020",333,"SINGLE_FAMILY",489900,2224,5227,489900,474900,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","7",2.8,"Middle","6",0.8,"High","6","below"
20633,1967,"Tigard",45.43985,-122.7957,"97223",3,3,"8/15/2019","7/13/2020",333,"SINGLE_FAMILY",452000,1475,7840,452000,440000,1.13,TRUE,FALSE,FALSE,TRUE,FALSE,1.9,"Elementary","3",0.6,"Middle","6",1,"High","5","below"
20634,1993,"Tigard",45.43344,-122.7927,"97223",3,4,"8/15/2019","7/13/2020",333,"SINGLE_FAMILY",520000,2641,7405,520000,508000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.7,"Elementary","6",0.3,"Middle","5",2.4,"High","7","below"
20636,1988,"Tigard",45.41408,-122.8002,"97224",3,4,"7/28/2019","7/22/2020",360,"SINGLE_FAMILY",618000,3034,18730,618000,3500,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.7,"Elementary","7",1.6,"Middle","5",2.1,"High","7","above"
20637,1999,"Tigard",45.41811,-122.8437,"97223",3,4,"7/23/2019","7/7/2020",350,"SINGLE_FAMILY",475000,1918,5662,475000,2745,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,2.7,"Elementary","5",3.5,"Middle","5",4.8,"High","7","below"
20638,2020,"Tigard",45.41111,-122.8354,"97224",3,3,"7/30/2019","7/5/2020",341,"SINGLE_FAMILY",809000,2734,14997,809000,874990,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,1.5,"Elementary","7",3.8,"Middle","5",5.1,"High","8","above"
20639,1994,"Tigard",45.40601,-122.8274,"97224",3,4,"8/1/2019","7/6/2020",340,"SINGLE_FAMILY",5e+05,1995,10018,5e+05,485000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.9,"Elementary","8",3.3,"Middle","5",4.5,"High","8","below"
20640,2001,"Tigard",45.4205,-122.8094,"97223",3,4,"8/9/2019","7/10/2020",336,"SINGLE_FAMILY",540000,2717,6534,540000,540000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.9,"Elementary","5",1.5,"Middle","5",2.7,"High","7","below"
20641,1992,"Tigard",45.41702,-122.8157,"97224",3,4,"8/9/2019","7/10/2020",336,"SINGLE_FAMILY",539999,2392,8276,539999,539999,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,1.3,"Elementary","5",1.9,"Middle","5",3,"High","7","below"
20642,1990,"Tigard",45.41234,-122.8283,"97224",3,5,"8/9/2019","7/10/2020",336,"SINGLE_FAMILY",593000,3147,9147,593000,579000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,1.1,"Elementary","7",3.3,"Middle","5",4.8,"High","8","above"
20643,2006,"Tigard",45.41164,-122.8089,"97224",3,4,"8/9/2019","7/10/2020",336,"SINGLE_FAMILY",610000,3154,5227,610000,620000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.1,"Elementary","7",2.1,"Middle","5",4,"High","8","above"
